'id';'lineEnd';'commaSep';'opAssign';'colonSep';'tInt';'tFloat';'tBool';'tChar';'tString';'arrayBeg';'arrayEnd';'consNumInt';'consNumFlo';'consBool';'consChar';'consString';'arraybeg';'opLogicOr';'opLogicAnd';'opEquals';'opRel';'opPlus';'opMinus';'opMult';'opExp';'paramBeg';'paramEnd';'opUnMinus';'opNot';'rwLength';'rwWhile';'rwFor';'rwIf';'rwElif';'rwElse';'rwPrint';'rwRead';'main';'rwVoid';'scopeBeg';'scopeEnd';'rwReturn';$
s6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s5;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;acc
s6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s5;;;;;r2
s6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s5;;;;;r4
r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r5;;;;;r5
;;;;;;;;;;;;;;;;;;;;;;;;;;s9;;;;;;;;;;;;;;;;;
;;;;s13;;;;;;;;;;;;;;;;;;;;;;s12;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r3
;;;;;;;;;;;;;;;;;;;;;;;;;;;s14;;;;;;;;;;;;;;;;
;;;;s16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;s17;s18;s19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s22;;;;;;;;;;;;;;;;;;;;;;;;;;;s20;;;;;;;;;;;;;;;;
;;;;;s25;s26;s27;s28;s29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;s16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s32;;;
;;;;;s25;s26;s27;s28;s29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s33;;;;
r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6;r6;r6;;;r6;r6;r6;;;r6;r6;r6
s38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
;;;;r74;;;;;;;;;;;;;;;;;;;;;;;r74;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;s61;;;;;;;;;;;;;;;;
;;;;s62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r10;r10;r10;;;;;;;s63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r11;r11;r11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r12;r12;r12;;;;;;;r12;;;;;;;;;;;;;;;;;r12;;;;;;;;;;;;;r12;;;
;r13;r13;r13;;;;;;;r13;;;;;;;;;;;;;;;;;r13;;;;;;;;;;;;;r13;;;
;r14;r14;r14;;;;;;;r14;;;;;;;;;;;;;;;;;r14;;;;;;;;;;;;;r14;;;
;r15;r15;r15;;;;;;;r15;;;;;;;;;;;;;;;;;r15;;;;;;;;;;;;;r15;;;
;r16;r16;r16;;;;;;;r16;;;;;;;;;;;;;;;;;r16;;;;;;;;;;;;;r16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s32;;;
r68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r68;;;;;r68
s76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s77;s78;s79;;;s80;s81;;;;s65;s75;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r69;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r70;;;
;;r71;;;;;;;;s82;;;;;;;;;;;;;;;;;r71;;;;;;;;;;;;;r71;;;
;;r72;;;;;;;;;;;;;;;;;;;;;;;;;r72;;;;;;;;;;;;;r72;;;
r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r7;r7;r7;;;r7;r7;r7;;;r7;r7;r7
;;;;s13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;s83;s84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r25;r25;;;;;;;;;r25;;;;;;;s85;;;;;;;;;r25;;;;;;;;;;;;;;;;
;r27;r27;;;;;;;;;r27;;;;;;;r27;s86;;;;;;;;r27;;;;;;;;;;;;;;;;
;r29;r29;;;;;;;;;r29;;;;;;;r29;r29;s87;s88;;;;;;r29;;;;;;;;;;;;;;;;
;r32;r32;;;;;;;;;r32;;;;;;;r32;r32;r32;r32;s89;s90;;;;r32;;;;;;;;;;;;;;;;
;r35;r35;;;;;;;;;r35;;;;;;;r35;r35;r35;r35;r35;r35;s91;;;r35;;;;;;;;;;;;;;;;
;r37;r37;;;;;;;;;r37;;;;;;;r37;r37;r37;r37;r37;r37;r37;s92;;r37;;;;;;;;;;;;;;;;
;r39;r39;;;;;;;;;r39;;;;;;;r39;r39;r39;r39;r39;r39;r39;r39;;r39;;;;;;;;;;;;;;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
;r41;r41;;;;;;;;;r41;;;;;;;r41;r41;r41;r41;r41;r41;r41;r41;;r41;;;;;;;;;;;;;r41;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;;;s49;s50;s52;;;;;;;;;;;;;
;r44;r44;;;;;;;;s98;r44;;;;;;;r44;r44;r44;r44;r44;r44;r44;r44;s99;r44;;;;;;;;;;;;;r44;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;s100;;;;;;;;;;;;;;;;;
;r48;r48;;;;;;;;;r48;;;;;;;r48;r48;r48;r48;r48;r48;r48;r48;;r48;;;;;;;;;;;;;r48;;;
;r18;r18;;;;;;;;;r18;;;;;;;r18;r18;r18;r18;r18;r18;r18;r18;;r18;;;;;;;;;;;;;r18;;;
;r19;r19;;;;;;;;;r19;;;;;;;r19;r19;r19;r19;r19;r19;r19;r19;;r19;;;;;;;;;;;;;r19;;;
;r20;r20;;;;;;;;;r20;;;;;;;r20;r20;r20;r20;r20;r20;r20;r20;;r20;;;;;;;;;;;;;r20;;;
;r21;r21;;;;;;;;;r21;;;;;;;r21;r21;r21;r21;r21;r21;r21;r21;;r21;;;;;;;;;;;;;r21;;;
