S;Code;DeclVarG;DeclVar;RealType;TypeAtomic;TypeArray;Literal;LiteralArray;Expression;ExprLogicOr;ExprLogicAnd;ExprEquals;ExprAditiv;ExprMult;ExprExp;ExprParams;ExprUnitary;ExpressionList;MatrixIndex;Assign;LoopWhCom;LoopForCom;CondCom;PrintCom;ReadCom;CallFunc;DeclFunc;SpecReturnType;FormalType;TypeArrayUndefined;FuncParamsFormal;FuncParamsFormalR;FuncParamsReal;Scope;Commands
;1;2;4;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;2;4;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;
;8;2;4;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;
;;;;;23;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;
;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;34;36;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;39;40;41;42;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;67;;;;;;;;;;;;;;;;;68;69;70;71;72;73;74;;;;;;;;;66
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;93;41;42;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;;;;;;94;48;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;;;;;;;95;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;96;;;;;;;;;;;;;;97;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;102;40;41;42;43;44;45;46;48;101;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;103;36;;;;;
;;;;;;;53;59;104;40;41;42;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;67;;;;;;;;;;;;;;;;;68;69;70;71;72;73;74;;;;;;;;;106
;;;67;;;;;;;;;;;;;;;;;68;69;70;71;72;73;74;;;;;;;;;107
;;;67;;;;;;;;;;;;;;;;;68;69;70;71;72;73;74;;;;;;;;;108
;;;67;;;;;;;;;;;;;;;;;68;69;70;71;72;73;74;;;;;;;;;109
;;;67;;;;;;;;;;;;;;;;;68;69;70;71;72;73;74;;;;;;;;;110
;;;67;;;;;;;;;;;;;;;;;68;69;70;71;72;73;74;;;;;;;;;111
;;;67;;;;;;;;;;;;;;;;;68;69;70;71;72;73;74;;;;;;;;;112
;;;67;;;;;;;;;;;;;;;;;68;69;70;71;72;73;74;;;;;;;;;113
;;;;;;;53;59;114;40;41;42;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;11;;;;;;;;;;;;;;;116;;;;;;;;;;;;;;117;;
;;;;;;;53;59;;;;;;;;118;48;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;;;;;;120;48;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;125;42;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;;126;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;;;127;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;;;128;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;;;;129;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;;;;130;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;;;;;131;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;;;;;;;132;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;135;40;41;42;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;102;40;41;42;43;44;45;46;48;137;;;;;;;;;;;;;;;;;
;;;;;;;53;59;;;;;;;;;138;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;144;40;41;42;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147;
;;;;;;;;;;;;;;;;;;;;148;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;153;40;41;42;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;157;40;41;42;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;160;40;41;42;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;59;161;40;41;42;43;44;45;46;48;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;116;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
