'id';'lineEnd';'commaSep';'opAssign';'colonSep';'tInt';'tFloat';'tBool';'tChar';'tString';'arrayBeg';'arrayEnd';'consNumInt';'consNumFlo';'consBool';'consChar';'consString';'arraybeg';'opLogicOr';'opLogicAnd';'opEquals';'opRel';'opPlus';'opMinus';'opMult';'opExp';'paramBeg';'paramEnd';'opUnMinus';'opNot';'rwLength';'rwWhile';'rwFor';'rwIf';'rwElif';'rwElse';'rwPrint';'rwRead';'main';'rwVoid';'scopeBeg';'scopeEnd';'rwReturn';$
s6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s7;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;acc
s6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s7;;;;;
s6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s7;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r3
r4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r4;;;;;
;;;;s13;;;;;;;;;;;;;;;;;;;;;;s12;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;s14;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r2
;;;;s16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;s18;s19;s20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s23;;;;;;;;;;;;;;;;;;;;;;;;;;;s21;;;;;;;;;;;;;;;;
;;;;;s26;s27;s28;s29;s30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;s31;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s33;;;
;;;;;s26;s27;s28;s29;s30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s35;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r69;;;
r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r5;r5;r5;;;r5;r5;r5;;;r5;r5;
s39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
;;;;r74;;;;;;;;;;;;;;;;;;;;;;;r74;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;s62;;;;;;;;;;;;;;;;
;;;;s63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r9;r9;r9;;;;;;;s64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r10;r10;r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r11;r11;r11;;;;;;;r11;;;;;;;;;;;;;;;;;r11;;;;;;;;;;;;;r11;;;
;r12;r12;r12;;;;;;;r12;;;;;;;;;;;;;;;;;r12;;;;;;;;;;;;;r12;;;
;r13;r13;r13;;;;;;;r13;;;;;;;;;;;;;;;;;r13;;;;;;;;;;;;;r13;;;
;r14;r14;r14;;;;;;;r14;;;;;;;;;;;;;;;;;r14;;;;;;;;;;;;;r14;;;
;r15;r15;r15;;;;;;;r15;;;;;;;;;;;;;;;;;r15;;;;;;;;;;;;;r15;;;
;;;;s66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r67;;;;;
s78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s79;s80;s81;;;s82;s83;;;;s67;s77;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r68;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r70;;;
;;r71;;;;;;;;s84;;;;;;;;;;;;;;;;;r71;;;;;;;;;;;;;r71;;;
;;r72;;;;;;;;;;;;;;;;;;;;;;;;;r72;;;;;;;;;;;;;r72;;;
r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6;r6;r6;;;r6;r6;r6;;;r6;r6;
;;;;s13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;s85;s86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r24;r24;;;;;;;;;r24;;;;;;;s87;;;;;;;;;r24;;;;;;;;;;;;;;;;
;r26;r26;;;;;;;;;r26;;;;;;;r26;s88;;;;;;;;r26;;;;;;;;;;;;;;;;
;r28;r28;;;;;;;;;r28;;;;;;;r28;r28;s89;s90;;;;;;r28;;;;;;;;;;;;;;;;
;r31;r31;;;;;;;;;r31;;;;;;;r31;r31;r31;r31;s91;s92;;;;r31;;;;;;;;;;;;;;;;
;r34;r34;;;;;;;;;r34;;;;;;;r34;r34;r34;r34;r34;r34;s93;;;r34;;;;;;;;;;;;;;;;
;r36;r36;;;;;;;;;r36;;;;;;;r36;r36;r36;r36;r36;r36;r36;s94;;r36;;;;;;;;;;;;;;;;
;r38;r38;;;;;;;;;r38;;;;;;;r38;r38;r38;r38;r38;r38;r38;r38;;r38;;;;;;;;;;;;;;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
;r40;r40;;;;;;;;;r40;;;;;;;r40;r40;r40;r40;r40;r40;r40;r40;;r40;;;;;;;;;;;;;r40;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
;r43;r43;;;;;;;;s100;r43;;;;;;;r43;r43;r43;r43;r43;r43;r43;r43;s101;r43;;;;;;;;;;;;;r43;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;s102;;;;;;;;;;;;;;;;;
;r47;r47;;;;;;;;;r47;;;;;;;r47;r47;r47;r47;r47;r47;r47;r47;;r47;;;;;;;;;;;;;r47;;;
;r17;r17;;;;;;;;;r17;;;;;;;r17;r17;r17;r17;r17;r17;r17;r17;;r17;;;;;;;;;;;;;r17;;;
;r18;r18;;;;;;;;;r18;;;;;;;r18;r18;r18;r18;r18;r18;r18;r18;;r18;;;;;;;;;;;;;r18;;;
;r19;r19;;;;;;;;;r19;;;;;;;r19;r19;r19;r19;r19;r19;r19;r19;;r19;;;;;;;;;;;;;r19;;;
